#,Empresa,Bairro,Categoria,Porte estimado,Rating,Reviews,Telefone,Site,Consumo estimado (MWh/ano),Conta estimada (R$ mil/mês),Dor principal,Lógica de abordagem,Endereço
11,Boutique da Carne,Bonsucesso,Açougue,Boutique De Carnes,4.4,104,+55 31 3582-4687,-,12-25,12-25,Climatização forte + iluminação de vitrine + câmaras = conta de luz pesando muito num negócio de ticket alto.,"Economia que vira investimento em premium (fachada, vitrine, carnes nobres) · Autonomia da vitrine se a luz cair (cliente boutique não tolera operação parada) · Sustentabilidade como narrativa de marca premium.","R. Dr. Cristiano Rezende, 1936 - Bonsucesso, Belo Horizonte - MG, 30622-020, Brasil"
12,Casa de Carnes Camargos Diniz,Santa Helena,Açougue,Açougue De Bairro,4.7,18,+55 31 3381-5551,-,1.5-4,1.5-4,"Margem fina, dono na operação, conta de luz pesa direto no fluxo de caixa do mês.",Economia na conta mensal (alivia fluxo de caixa apertado) · Autonomia da câmara fria se faltar luz (sobrevivência do negócio) · Sustentabilidade como diferencial pro consumidor consciente do bairro.,"Av. Olinto Meireles, 2420 - Santa Helena, Belo Horizonte - MG, 30620-330, Brasil"
13,Casa de Carnes Mota,Vila Santa Rita,Açougue,Açougue De Bairro,4.7,23,+55 31 99424-0608,-,1.5-4,1.5-4,"Margem fina, dono na operação, conta de luz pesa direto no fluxo de caixa do mês.",Economia na conta mensal (alivia fluxo de caixa apertado) · Autonomia da câmara fria se faltar luz (sobrevivência do negócio) · Sustentabilidade como diferencial pro consumidor consciente do bairro.,"Av. Perimetral, 1645 - Vila Santa Rita, Belo Horizonte - MG, 30670-020, Brasil"
14,Casa de Carnes Dois Irmãos,Independência,Açougue,Açougue De Bairro,4.5,17,+55 31 98903-5329,-,1.5-4,1.5-4,"Margem fina, dono na operação, conta de luz pesa direto no fluxo de caixa do mês.",Economia na conta mensal (alivia fluxo de caixa apertado) · Autonomia da câmara fria se faltar luz (sobrevivência do negócio) · Sustentabilidade como diferencial pro consumidor consciente do bairro.,"R. Flôr de Pitangueira, 107 - Independência, Belo Horizonte - MG, 30672-250, Brasil"
15,CARNES NOBRES BH,Vila Santa Rita,Açougue,Boutique De Carnes,5,46,+55 31 98455-8368,(só Instagram),12-25,12-25,Climatização forte + iluminação de vitrine + câmaras = conta de luz pesando muito num negócio de ticket alto.,"Economia que vira investimento em premium (fachada, vitrine, carnes nobres) · Autonomia da vitrine se a luz cair (cliente boutique não tolera operação parada) · Sustentabilidade como narrativa de marca premium.","Rua José Pedro de Brito 391 Vila Santa Rita (BARREIRO, Belo Horizonte - MG, 30668-590, Brasil"
16,Boutique da Carne,Milionários,Açougue,Boutique De Carnes,4.8,42,+55 31 3336-1238,(só Instagram),12-25,12-25,Climatização forte + iluminação de vitrine + câmaras = conta de luz pesando muito num negócio de ticket alto.,"Economia que vira investimento em premium (fachada, vitrine, carnes nobres) · Autonomia da vitrine se a luz cair (cliente boutique não tolera operação parada) · Sustentabilidade como narrativa de marca premium.","897, R. Amilcar Cabral, 251 A - Milionários, Belo Horizonte - MG, 30620-250, Brasil"
17,Casa De Carnes Azevedo,Paulo VI,Açougue,Açougue Consolidado,4.9,54,+55 31 3021-5310,-,4-9,4-9,"Operação enxuta, margem fina, dono toma decisão de compra — energia é dor visível todo mês.",Economia direta na conta (dor mensal visível no caixa) · Autonomia se a luz cair (refrigeração não pode parar) · Sustentabilidade como vantagem local (poucos açougues do bairro têm solar).,"R. Antônio Mariano de Abreu, 120 - Paulo VI, Belo Horizonte - MG, 31995-000, Brasil"
18,Casa de Carnes Manancial,Paulo VI,Açougue,Açougue De Bairro,5,19,+55 31 98755-3073,-,1.5-4,1.5-4,"Margem fina, dono na operação, conta de luz pesa direto no fluxo de caixa do mês.",Economia na conta mensal (alivia fluxo de caixa apertado) · Autonomia da câmara fria se faltar luz (sobrevivência do negócio) · Sustentabilidade como diferencial pro consumidor consciente do bairro.,"R. Assa Peixe, 2 - Paulo VI, Belo Horizonte - MG, 31995-170, Brasil"
19,Açougue Prime Carnes Minas Caixa,Minas Caixa,Açougue gourmet,Boutique De Carnes,5,132,+55 31 98261-1907,-,12-25,12-25,Climatização forte + iluminação de vitrine + câmaras = conta de luz pesando muito num negócio de ticket alto.,"Economia que vira investimento em premium (fachada, vitrine, carnes nobres) · Autonomia da vitrine se a luz cair (cliente boutique não tolera operação parada) · Sustentabilidade como narrativa de marca premium.","R. Edgard Torres, 727 - Minas Caixa, Belo Horizonte - MG, 31610-510, Brasil"
20,Frigo Palmas,Ribeiro de Abreu,Açougue,Atacado/Distribuição,4.8,127,+55 31 3434-3005,https://abrir.link/Qtxcx,30-100,30-100,Câmaras frias rodando 24/7 são o maior custo fixo depois da carne — qualquer aumento de tarifa some com a margem.,Economia de energia em escala (corte direto no custo fixo dominante) · Autonomia se a CEMIG cair (câmara fria parada = mercadoria perdida em horas) · Sustentabilidade pra negociar com supermercado/atacado cliente.,"Rua Frei Luiz de Ravena, 41 - Ribeiro de Abreu, Belo Horizonte - MG, 31870-690, Brasil"
21,Açougue Asa Da Gaivota,Nazare,Açougue,Açougue De Bairro,4.1,28,+55 31 3282-3982,-,1.5-4,1.5-4,"Margem fina, dono na operação, conta de luz pesa direto no fluxo de caixa do mês.",Economia na conta mensal (alivia fluxo de caixa apertado) · Autonomia da câmara fria se faltar luz (sobrevivência do negócio) · Sustentabilidade como diferencial pro consumidor consciente do bairro.,"R. Cleanto, 345 - Nazare, Belo Horizonte - MG, 31990-360, Brasil"
22,Baiano's Carnes,Paulo VI,Açougue,Açougue De Bairro,4.9,26,-,-,1.5-4,1.5-4,"Margem fina, dono na operação, conta de luz pesa direto no fluxo de caixa do mês.",Economia na conta mensal (alivia fluxo de caixa apertado) · Autonomia da câmara fria se faltar luz (sobrevivência do negócio) · Sustentabilidade como diferencial pro consumidor consciente do bairro.,"R. Antônio Mariano de Abreu - Paulo VI, Belo Horizonte - MG, 31998-452, Brasil"
23,Casa de Carnes Vilela,Tupi,Açougue,Açougue De Bairro,4.5,20,+55 31 3568-9880,-,1.5-4,1.5-4,"Margem fina, dono na operação, conta de luz pesa direto no fluxo de caixa do mês.",Economia na conta mensal (alivia fluxo de caixa apertado) · Autonomia da câmara fria se faltar luz (sobrevivência do negócio) · Sustentabilidade como diferencial pro consumidor consciente do bairro.,"R. Furquim Werneck, 833 - Tupi, Belo Horizonte - MG, 31840-050, Brasil"
24,GUARANI CARNES,Guarani,Açougue,Açougue De Bairro,4.7,7,+55 31 3427-5830,https://sites.google.com/view/guarani-carnes/in%C3%ADcio,1.5-4,1.5-4,"Margem fina, dono na operação, conta de luz pesa direto no fluxo de caixa do mês.",Economia na conta mensal (alivia fluxo de caixa apertado) · Autonomia da câmara fria se faltar luz (sobrevivência do negócio) · Sustentabilidade como diferencial pro consumidor consciente do bairro.,"Av. Waldomiro Lobo, 540 - Guarani, Belo Horizonte - MG, 31814-620, Brasil"
25,VMA Carnes,São Pedro Venda Nova,Açougue,Açougue Consolidado,4.7,70,+55 31 3080-4444,https://vmacarnes.com/contato,4-9,4-9,"Operação enxuta, margem fina, dono toma decisão de compra — energia é dor visível todo mês.",Economia direta na conta (dor mensal visível no caixa) · Autonomia se a luz cair (refrigeração não pode parar) · Sustentabilidade como vantagem local (poucos açougues do bairro têm solar).,"esquina - Av Edgar Torres, R. Cap. Sérgio Píres, Belo Horizonte - MG, 31610-510, Brasil"
26,Açougue Baianão Carnes,Floramar,Açougue,Açougue Consolidado,4.6,46,+55 31 3434-6022,-,4-9,4-9,"Operação enxuta, margem fina, dono toma decisão de compra — energia é dor visível todo mês.",Economia direta na conta (dor mensal visível no caixa) · Autonomia se a luz cair (refrigeração não pode parar) · Sustentabilidade como vantagem local (poucos açougues do bairro têm solar).,"Av. José Lopes Muradas, 51 - Floramar, Belo Horizonte - MG, 31742-084, Brasil"
27,Boi Chefe,Guarani,Açougue,Açougue Consolidado,4.6,52,+55 31 98782-0253,-,4-9,4-9,"Operação enxuta, margem fina, dono toma decisão de compra — energia é dor visível todo mês.",Economia direta na conta (dor mensal visível no caixa) · Autonomia se a luz cair (refrigeração não pode parar) · Sustentabilidade como vantagem local (poucos açougues do bairro têm solar).,"Av. Waldomiro Lobo, 480 - Guarani, Belo Horizonte - MG, 31814-620, Brasil"
28,Xavier carnes Pedro Primeiro,Itapoã,Açougue,Boutique De Carnes,4.2,264,+55 31 3441-9810,-,12-25,12-25,Climatização forte + iluminação de vitrine + câmaras = conta de luz pesando muito num negócio de ticket alto.,"Economia que vira investimento em premium (fachada, vitrine, carnes nobres) · Autonomia da vitrine se a luz cair (cliente boutique não tolera operação parada) · Sustentabilidade como narrativa de marca premium.","Av. Dom Pedro I, 734 - Itapoã, Belo Horizonte - MG, 31710-000, Brasil"
29,Central Carnes,Serra Verde,Instalação de armazenamento a frio,Atacado/Distribuição,4.7,36,+55 31 3451-1755,-,30-100,30-100,Câmaras frias rodando 24/7 são o maior custo fixo depois da carne — qualquer aumento de tarifa some com a margem.,Economia de energia em escala (corte direto no custo fixo dominante) · Autonomia se a CEMIG cair (câmara fria parada = mercadoria perdida em horas) · Sustentabilidade pra negociar com supermercado/atacado cliente.,"Av. Leontino Francisco Alves, 163 - Serra Verde, Belo Horizonte - MG, 31630-000, Brasil"
30,Açougue Tavares,Conjunto Paulo VI,Loja,Açougue De Bairro,5,14,+55 31 98745-5803,-,1.5-4,1.5-4,"Margem fina, dono na operação, conta de luz pesa direto no fluxo de caixa do mês.",Economia na conta mensal (alivia fluxo de caixa apertado) · Autonomia da câmara fria se faltar luz (sobrevivência do negócio) · Sustentabilidade como diferencial pro consumidor consciente do bairro.,"R. Itarumirim, 357 - Conjunto Paulo VI, Belo Horizonte - MG, 31998-060, Brasil"
